county_state,countyfips,state_name,county_name,NIC_2019,NIC_2020,NUI_2019,NUI_2020,nic_moe_2019,nic_moe_2020,nui_moe_2019,nui_moe_2020,statefips
"Henry County, KY",103,KY,Henry County,11881.0,11858.0,1240.0,1143.0,158.0,164.0,158.0,164.0,21
"Hickman County, KY",105,KY,Hickman County,2805.0,2756.0,271.0,303.0,37.0,45.0,37.0,45.0,21
"Hopkins County, KY",107,KY,Hopkins County,32940.0,32709.0,2419.0,2416.0,296.0,342.0,296.0,342.0,21
"Jackson County, KY",109,KY,Jackson County,9805.0,9830.0,899.0,810.0,124.0,130.0,124.0,130.0,21
"Jefferson County, KY",111,KY,Jefferson County,580599.0,584617.0,44606.0,35399.0,3347.0,3048.0,3347.0,3048.0,21
"Jessamine County, KY",113,KY,Jessamine County,40625.0,40435.0,3632.0,3421.0,440.0,485.0,440.0,485.0,21
"Johnson County, KY",115,KY,Johnson County,16116.0,16056.0,1359.0,1124.0,174.0,171.0,174.0,171.0,21
"Kenton County, KY",117,KY,Kenton County,131901.0,132819.0,9138.0,8509.0,1030.0,1078.0,1030.0,1078.0,21
"Knott County, KY",119,KY,Knott County,10208.0,10037.0,964.0,739.0,127.0,117.0,127.0,117.0,21
"Knox County, KY",121,KY,Knox County,22676.0,22802.0,1982.0,1660.0,279.0,277.0,279.0,277.0,21
"Larue County, KY",123,KY,Larue County,10562.0,10569.0,968.0,878.0,129.0,136.0,129.0,136.0,21
"Laurel County, KY",125,KY,Laurel County,45599.0,46047.0,4115.0,3748.0,521.0,545.0,521.0,545.0,21
"Lawrence County, KY",127,KY,Lawrence County,11291.0,11395.0,1077.0,958.0,144.0,147.0,144.0,147.0,21
"Lee County, KY",129,KY,Lee County,4673.0,4522.0,371.0,320.0,53.0,53.0,53.0,53.0,21
"Leslie County, KY",131,KY,Leslie County,7119.0,7039.0,647.0,479.0,85.0,76.0,85.0,76.0,21
"Letcher County, KY",133,KY,Letcher County,15565.0,15248.0,1355.0,1184.0,177.0,184.0,177.0,184.0,21
"Lewis County, KY",135,KY,Lewis County,9651.0,9625.0,950.0,801.0,125.0,125.0,125.0,125.0,21
"Lincoln County, KY",137,KY,Lincoln County,17732.0,17894.0,1863.0,1505.0,235.0,221.0,235.0,221.0,21
"Livingston County, KY",139,KY,Livingston County,6511.0,6348.0,552.0,506.0,76.0,79.0,76.0,79.0,21
"Logan County, KY",141,KY,Logan County,19938.0,20027.0,1811.0,1783.0,238.0,269.0,238.0,269.0,21
"Lyon County, KY",143,KY,Lyon County,4571.0,4583.0,422.0,348.0,55.0,55.0,55.0,55.0,21
"Madison County, KY",151,KY,Madison County,68370.0,69152.0,5166.0,5119.0,638.0,731.0,638.0,731.0,21
"Magoffin County, KY",153,KY,Magoffin County,8835.0,8744.0,982.0,800.0,130.0,129.0,130.0,129.0,21
"Marion County, KY",155,KY,Marion County,14404.0,14414.0,1175.0,1089.0,153.0,169.0,153.0,169.0,21
"Marshall County, KY",157,KY,Marshall County,22259.0,21993.0,1723.0,1852.0,226.0,265.0,226.0,265.0,21
"Martin County, KY",159,KY,Martin County,7200.0,7169.0,617.0,462.0,81.0,71.0,81.0,71.0,21
"Mason County, KY",161,KY,Mason County,12471.0,12441.0,1114.0,1017.0,145.0,156.0,145.0,156.0,21
"McCracken County, KY",145,KY,McCracken County,47678.0,47574.0,3612.0,3281.0,446.0,484.0,446.0,484.0,21
"McCreary County, KY",147,KY,McCreary County,11460.0,11528.0,1090.0,851.0,161.0,150.0,161.0,150.0,21
"McLean County, KY",149,KY,McLean County,6780.0,6584.0,543.0,586.0,69.0,87.0,69.0,87.0,21
"Meade County, KY",163,KY,Meade County,22610.0,22287.0,1548.0,1692.0,205.0,251.0,205.0,251.0,21
"Menifee County, KY",165,KY,Menifee County,4618.0,4617.0,406.0,372.0,55.0,60.0,55.0,60.0,21
"Mercer County, KY",167,KY,Mercer County,16294.0,16268.0,1401.0,1285.0,180.0,195.0,180.0,195.0,21
"Metcalfe County, KY",169,KY,Metcalfe County,7315.0,7289.0,652.0,588.0,91.0,97.0,91.0,97.0,21
"Monroe County, KY",171,KY,Monroe County,7581.0,7536.0,867.0,759.0,111.0,117.0,111.0,117.0,21
"Montgomery County, KY",173,KY,Montgomery County,21403.0,21301.0,1738.0,1723.0,228.0,264.0,228.0,264.0,21
"Morgan County, KY",175,KY,Morgan County,8146.0,8317.0,844.0,666.0,110.0,103.0,110.0,103.0,21
"Muhlenberg County, KY",177,KY,Muhlenberg County,21250.0,21204.0,1934.0,1691.0,246.0,246.0,246.0,246.0,21
"Nelson County, KY",179,KY,Nelson County,36161.0,35963.0,2420.0,2535.0,312.0,374.0,312.0,374.0,21
"Nicholas County, KY",181,KY,Nicholas County,5318.0,5402.0,610.0,475.0,81.0,76.0,81.0,76.0,21
"Ohio County, KY",183,KY,Ohio County,17844.0,17592.0,1501.0,1440.0,202.0,218.0,202.0,218.0,21
"Oldham County, KY",185,KY,Oldham County,51990.0,52044.0,2356.0,2416.0,284.0,333.0,284.0,333.0,21
